# MSU JPN 402 Article/Drama Vocab and Kanji			
# Compiled in Anki format by Kenneth Hanson, Spring 2013			
# Last updated 6/16/12			
# To import in Anki, delete the line number column and export as a Unicode (UTF-8) tab-delimited text file			
# Note: Kanji that aren't in the main vocab are listed last for each article/clip			
# Note: Anki will not import facts with 'duplicate items' -- vocab that appear in multiple articles will only be imported once.			
			
# Item	Reading	Meaning	Card Tags
			
# Article 1: Shuushoku			
従来にない	じゅうらい（にない）	unprecedented	article06, vocab-rec
強調する	きょうちょう（する）	to emphasize	article06, vocab-know
年内	ねんない	before the end of the year	article06, vocab-know
ツタヤ		日本で一番大きいレンタルビデオの会社	article06, vocab-opt
運営する	うんえい（する）	to manage; operate	article06, vocab-know
合弁会社	ごうべんがいしゃ	joint company	article06, vocab-rec
設立する	せつりつ（する）	to establish	article06, vocab-know, kanji-rw
ガラパゴス島	（ガラパゴス）とう	Galapagos Islands	article06, vocab-know
勝手に	かって（に）	to do… on one’s own; without permission	article06, vocab-know, kanji-rw
進化する	しんか（する）	to evolve; advance	article06, vocab-know
上級副社長	じょうきゅうふくしゃちょう	senior vice president	article06, vocab-know
事業	じぎょう	＝ビジネス	article06, vocab-know
位置づける	いち（づける）	to place; position	article06, vocab-know
凸版印刷	とっぱんいんさつ	大手の印刷会社 (printing firm)	article06, vocab-opt
KDDI		大手の電話・インターネットサービスプロバイダー	article06, vocab-opt
共同で	きょうどう（で）	in cooperation; collaboration	article06, vocab-know
X向け	む（け）	for X; targeting X	article06, vocab-know, kanji-rw
立ち上げる	た（ち）あ（げる）	to start up; launch	article06, vocab-know
圧倒的（な）	あっとうてき（な）	overwhelming	article06, vocab-know
人気を誇る	にんき（を）ほこ（る）	＝人気がある	article06, vocab-know
牙城	がじょう	stronghold	article06, vocab-opt
(Xを) 崩す	くずす	to destroy; break into pieces; Cf. (Xが) くずれる	article06, vocab-know
#			
申し込む	もうしこむ	to apply for	article06, vocab-old, kanji-rw
予約	よやく	reservation	article06, vocab-old, kanji-rw
重さ	おもさ	weight	article06, vocab-old, kanji-rw
読書	どくしょ	reading	article06, vocab-old, kanji-rw
～冊	～さつ	[counter for books]	article06, vocab-old, kanji-rw
島	しま	island	article06, vocab-old, kanji-rw
